Id,Brand,Model,Year,FuelType,Engine,Transmission,BodyType,Description,ImageUrl,HorsePower,Color,Mileage,Price
26,Audi,AUDI R8 V10 performance RWD,2007,Gasoline,5.2L V10 7AT RWD (570 HP),7-speed automatic DCT S tronic,Coupé (two-door),"Audi tried the RWD supercar market in 2018 when it launched the R8 RWS, which stood for Rear-Wheel Series. Even though the carmaker was mostly known for its quattro systems, which sent the power in all corners of a car, it knew that supercars' drivers were very comfortable with rear-wheel drive vehicles, so it did it. The experiment was successful, and the carmaker continued that by adding the R8 RWD in 2019 and the Performance version in 2021.From the outside, the car looked very similar to the rest of the R8 range. While the front bumper and general shape of the car were the same, there were a few details different, such as the mate-black singleframe grille, body-colored side air intakes from the rear quarter panels, or the carbon-fiber door-mirror caps. Last but not least, the RWD Performance version received a specific set of light-alloy wheels to lower the unsprung masses.Inside, a large, sharply contoured arch ran around the driver's area, creating a ""monoposto,"" racing atmosphere. In front of the driver, a 12.3-inch display was filled the floating-design instrument cluster. Unlike the rest of the R8 range, the Performance version offered a steering wheel with four control satellites to control the Audi drive select, the start-button, to activate the performance mode, and control the Audi virtual cockpit screen respectively.Since it was a performance-oriented supercar, it received a new powerplant enhanced by 30 hp when compared to the rest of the range from the same 5.7-liter V10. It was paired as standard with a seven-speed automatic (dual-clutch) gearbox that sent the power to the rear wheels via a mechanical locking differential.",https://s1.cdn.autoevolution.com/images/gallery/audi-r8-v10-performance-rwd-2021-7218_6.jpg,570,Red,156574,106948
27,Audi,AUDI R8 Coupe,2007,Gasoline,5.2L FSI V10 quattro S tronic 7AT AWD (570 HP),7-speed automatic S tronic,Coupé (two-door),"The mid-cycle refresh of the second-generation Audi R8 is not exactly in line with other Audi facelift, since the differences between the old and the new are rather extensive, both on the technical and the visual side. On the outside, it's the front end that got the biggest nips and tucks, with the lower fascia now looking more in line with that of the 2018 Audi RS5 and other upcoming RS models. Both versions of the naturally aspirated 5.2-liter V10 have been improved, with the regular R8 V10 Coupe now delivering 570 horsepower instead of 540 and the R8 V10 Coupe Performance (renamed from V10 Plus) offering 620 horsepower instead of the puny 610 horsepower of its predecessor. A comprehensive redesign of the brakes has improved stopping power on both versions as well.In 2018, Audi released its first rear-wheel-drive R8, thus the Coupe became the cheapest version of the R8. While cheaper, the car’s weight was also reduced due to the absence of the extra differentials and shafts. The weight was reduced by 40 kg. The R8 came with standard 19-inch alloys and offered optional ultralight 20-inch milled wheels. Instead of the standard steel discs, customers could opt for ceramic brake discs. The 2018 model started selling in 2019.",https://s1.cdn.autoevolution.com/images/gallery/AUDI-R8-Coupe-6436_7.jpg,570,Silver,49454,68567
28,Audi,AUDI R8 V10 RWS,2007,Gasoline,5.2 V10 7AT (540 HP),7-speed automatic,Coupé (two-door),"Ever since it launched the concept, Audi was proud of its all-wheel-drive R8 that shook the supercar world and proved to be a serious track-weapon. In 2017, the R8 made a bolder move.While most of the supercars evolved from being rear-wheel-drive to all-wheel-drive, the R8 took the opposite path. Audi introduced it as an all-wheel-drive, mid-engine supercar and transformed it into a rear-wheel-drive one. Thus, it silenced the voices which said that a true supercar must have the power sent only to the rear axle. The RWS initials stood for Rear Wheel Series.The R8 RWS was the least expensive R8 from its times since the customers didn't have to pay for the front and center differentials. Its bodywork was similar to the regular R8 but with a few small different details. It was underscored by the matte black grille of the singleframe and the matte black air openings at the car's front and rear. The upper sideblades behind the doors were finished in gloss black, while the lower ones were body-colored. As an option, Audi offered a red strip that crossed the top of the car from the front bumper to the engine's lid.Inside, the R8 RWS sported the same interior as the rest of the mid-engined Audi supercar, with sports seats fitted as standard. As an option, the carmaker offered bucket seats. Unlike any of its siblings, it featured a badge on the dashboard which stated the car number, such as ""1 of 999."" There was no infotainment screen on the center stack. It was shown inside the instrument cluster on the Audi Virtual Cockpit TFT display.Behind the two-seat cabin, Audi installed the naturally aspirated 5.2-liter V-10 engine that produced 540 hp. It was paired to a seven-speed automatic (dual-clutch) gearbox. The electronic stability control featured a special drift function.",https://s1.cdn.autoevolution.com/images/gallery/AUDI-R8-V10-RWS-6122_8.jpg,540,Black,66018,75502
29,Audi,AUDI R8,2007,Gasoline,5.2L V10 FSI 7AT (540 HP),7-speed automatic (S TRONIC),Coupé (two-door),"Despite having a super-car brand in its portfolio, Audi insisted to have its own super-car and, in 2006, it launched the R8, which it was followed by the second generation in 2015.Audi claimed 13 victories at the 24 hours of LeMans race before launching the second generation of its R8 and that was as much as the Ford and Ferrari combined. It was second only to Porsche. With that kind of sporting pedigree, the four-circle brand could dare and make a bold move with the second generation of the R8. They ditched the V8 engine and manual transmissions. It was time for a new era of supercars.With its sleek, low profile, and advanced driving post, the second generation of the R8 featured an enhanced aerodynamic profile. On the front side, the new singleframe grille was adorned on the sides by a pair of air scoops for brakes cooling. The side air-intakes for the engine were painted in black, to emphasize the mid-engine design. In the back, under the taillights, there were other air-vents to help to cool the engine and remove the air from the wheel-well.Inside, the two-seater supercar featured sport-bucket seats and a high-tech interior. With the Audi Virtual Cockpit, the instrument cluster was transformed into a 12.3” display with elaborately computed graphics. The system also showed a shift-light informing the driver when to shift the gears, while in manual mode.The second generation of the R8 was available with a choice of two V10 engines that offered 540 hp and 610 hp, respectively. The standard transmission was a 7-speed S tronic.",https://s1.cdn.autoevolution.com/images/gallery/AUDI-R8-5453_31.jpg,540,Blue,31832,68502
30,Audi,AUDI R8 V10,2007,Gasoline,5.2 V10 FSI 7AT (525 HP),7-speed automatic (S TRONIC),Coupé (two-door),"Audi launched its first supercar in 2006, and 2012 brought their new R8 with a 5.2-liter V10 engine borrowed from the Lamborghini Gallardo.The exterior of the R8 was aggressive, with sharp lines and the Audi’s so  called “side blades” on the side (of course). The side blades were made of carbon fiber to maintain a reduced weight. Sticked to the side blades were air intakes that helped redirecting the air to reduce drag.The headlights were equipped with daytime running LED strips and the R8 was the first car to feature them.The most interesting part showed the true sports nature of the R8 - the rear-mounted engine with a glass cover.The 5.2 liter V10 engine developed 525 hp and could rocket the car to 100 kph in 3.7 seconds. The R8 could reach a maximum speed of 318 kph. Quite impressive!The interior of the R8 didn’t really match the exterior design. It did not give the feeling of being inside a sports car, but rather in an Audi RS.Sports car usually have different color accents, but the R8’s dashboard was mostly black and simple.The steering wheel was flat-bottomed as not much space was available in the 2-seater. It was equipped with paddle shifters that looked like aluminium, however, they were made of plastic.The instrument panel was the classic one, with added V10 and R8 logos on the cluster gauges. The R8 was a bargain compared to the Lamborghini and still offered a beautiful design, comfort, lots of storage spaces, power and fun.",https://s1.cdn.autoevolution.com/images/gallery/AUDI-R8-V10-5452_10.jpg,525,Blue,37084,15805
31,Audi,AUDI R8 V8,2007,Gasoline,4.2 V8 FSI 6AT (420 HP),6-speed automatic,Coupé (two-door),"Audi may have been the last German premium brand to show a supercar, but when it showed it, they did it properly with the R8 V8 in 2006 at the Paris Auto Show.After purchasing the Lamborghini supercar brand, Audi thought that they can build something in the same segment. They already had the engines and transmission to do it. All they need was a good platform and a bodywork. In 2003, the Audi showed the ""LeMans"" concept-car after three consecutive wins at the 24h of LeMans race. Based on that, the Audi made the R8 supercar. It was a light, small, coupe with middle V8 engine and all-wheel-drive.Inside, there were numerous parts from other Audi models, which were criticized. But the car was true to its image. The 420 hp naturally aspirated engine was mated to a 6-speed manual transmission. Unusual for an Audi, it had a gate pattern for the gearshift lever, something like a Ferrari. But that didn't matter too much. The car was fast and handled very well. Unlike any other Audi, it was more rear-biased so it was prone to oversteer instead of understeer like the rest of the Audi range. The engine was a naturally aspirated V8 and it was so reliable that it could be driven every day. It also was available with a 6-speed automatic transmission with a launch-control mode and paddle shifters behind the steering wheels. To improve stability, it had magnetorheological dampers, which could be stiffened to provide better cornering speed.",https://s1.cdn.autoevolution.com/images/gallery/AUDIR8-1582_1.jpg,420,Red,35798,72739
32,Audi,AUDI S8,1996,Gasoline,4.0L TSFI quattro V8 8AT (571 HP),8-speed automatic Tiptronic,Unknown,"The fourth generation of the Audi S8 was unveiled at the end of 2019 and it brings a host of novelties compared to its predecessor, including the addition of a mild-hybrid system based on a 48-volt architecture. Other than the mild-hybrid system, the twin-turbocharged 4.0-liter V8 is similar to the one found in the Audi S8 D4, but it has also received a couple of modifications, including iron-lined cylinder barrels positioned in an aluminum crankcase.With 571 horsepower and 800 Nm (590 lb-ft) of torque on tap, sent to all four-wheel through a quattro all-wheel-drive system, the sporty luxury sedan can hit 100 kph (62 mph) from a standing start in just 3.8 seconds. Even though it also helps performance during spirited driving, the mild-hybrid 48-volt system actually works continuously to reduce fuel consumption, with up to 0.8-liters per 100 kilometers in fuel saving being possible thanks strictly to the system. The setup uses a 48-volt belt alternator starter and an additional lithium-ion battery. The braking system is truly high-performance, with the optional carbon-fiber brake discs measuring no less than 420 mm (16.5 in) on the front axle and 370 mm (14.6 in) on the rear axle while also being 9.6 kg (21.2 lb) lighter than the standard cast iron discs. No less than 38 driver assistance systems comprise the active safety systems on the new S8, and they are all managed by a new high-performance processing unit.",https://s1.cdn.autoevolution.com/images/gallery/AUDI-S8-6692_23.jpg,571,Grey,18362,79803
33,Audi,AUDI S8 D4,1996,Gasoline,4.0 TFSI Quattro 8AT (520 HP),8-speed automatic,Unknown,"While the Mercedes-Benz had the AMG division that took care of its performance S-Class models, Audi offered the S models for its vehicles. The 2012 Audi S8 was the fastest A8 in the range.The surge for more power got the Audi to ditch the former Lamborghini V10 unit in favor of a newly developed, twin-turbo, V8 engine. With massive investments into research and development, the 2012 Audi S8 was more powerful, and faster than its predecessor.The Audi S8 had a distinctive look from the outside. But it didn't feature flamboyant fender flares or some crazy wings in the back. It featured the same big grille as the rest of its range, but with double-chromed lines on each slat instead of single chromed. The rearview mirrors had silver cases, that looked like aluminum. In the back, there were four tailpipes and a diffuser between them. Inside, it was a luxurious Audi A8 with all the comfort features as the rest of its siblings. Only the more luxurious A8 W12 had more than the S8, but only S8 had sport-bucket seats for the front occupants. A new infotainment unit was on the dashboard with a retractable mode so it won't bother the view.Under the hood there was the 4.0-liter V8 engine with the turbochargers between the engine banks to decrease the turbo-lag. For the economic running mode, the engine could run in four cylinders. The standard transmission was an 8-speed automatic by ZF. As usual for any S-range model, it featured the quattro all-wheel-drive system from Audi.",https://s1.cdn.autoevolution.com/images/gallery/AUDIS8-D4--4613_1.jpg,519,Blue,162224,48775
34,Bmw,BMW X5 M Competition,2009,Mild Hybrid,Competition 4.4L V8 xDrive 48V MHEV AWD 8AT (625 HP),8-speed automatic  M Steptronic  with Drivelogic,SUV (Sports Utility Vehicle),"BMW refreshed the X5 lineup at the beginning of 2023, and along with the rest of the range, the M Competition version received a well-deserved update.While customers started to ask for more performance-oriented SUVs that were good for families but also incredibly fast on regular roads, BMW stepped ahead. Starting with the second generation of the X5 it also introduced the M version. Fast forward to the fourth generation that was launched in 2019, and the M version was more powerful than ever, especially when fitted with the Competition package.For the 2023 model year, the X5 M Competition received a new and improved front fascia fitted with slimmer headlights and a redesigned grille. This was broader and flanked by enlarged air intakes that cooled the massive front brakes. In addition, the lower bumper received a redesigned grille.The X5 M Competition boasted a luxurious cabin with leather upholstery and a hexagonal pattern on the door cards. In addition, the automaker added carbon-fiber trims on the dashboard, center stack, and center console. BMW also installed a new dashboard fitted with a curved screen that hosted the instrument panel and the iDrive 8 infotainment system.But the most significant changes were made under the car's skin. While the ICE powerplant remained the same, the automaker added a 48V mild-hybrid system that helped the",https://s1.cdn.autoevolution.com/images/gallery/bmw-x5-m-competition-2023-7430_22.jpg,625,Silver,49333,41015
35,Bmw,BMW X5 M G05,2009,Gasoline,4.4L V8 8AT AWD (600 HP) ,8-speed automatic M Steptronic,SUV (Sports Utility Vehicle),"The X5 M was the top-performer of the X5 range and provided more power and torque than its predecessor, and, for those who thought that 600 hp are not enough, BMW offered an upgraded version.When BMW introduced the first generation of the X5 in 1999, it became a sales-winner. It featured a unit-body construction, and that made it lighter than its main competitor, the Mercedes-Benz ML, which featured a body-on-frame architecture. Thus, BMW's first SUV became a tough competitor for all other premium carmakers. Fast forward two decades, and the X5 M came on the market with more power than three first-generation X5.The 2019 X5 M featured a new front bumper than the rest of the X5 range. It sported a wider lower grille flanked by a pair of side-scoops and two more others on the car's apron. Its aggressive look was not only for show. All the scoops and air intakes were calculated by the company's engineers and were fully functional.The leather-clad X5 interior featured a pair of high-bolstered seats at the front separated by a tall and wide center stack. Its sport bucket seats for the front passengers provided great side support for their occupants. In the back, there was the same flat bench with a 40/20/40 split system that increased the car's trunk from 650 liters to a maximum of 1,870 liters. The dashboard featured a pair of slim vents on the center stack, under the wide, 12.3"" infotainment display. For the 2019 model, the X6 M sported a 12.3"" digital instrument panel.Under the hood, BMW M installed an evolved 4.4-liter twin-turbo engine. Unlike its predecessor, which offered 575 hp, the 2019 model provided 600 hp for the regular M and 625 for the Competition Package version.",https://s1.cdn.autoevolution.com/images/gallery/bmw-x5-m-2019-7095_11.jpg,600,Blue,65807,94895
